nouvelle_region,nouvelle_province,nb_communes
Bankui,Balé,10
Bankui,Banwa,6
Bankui,Mouhoun,7
Djôrô,Bougouriba,6
Djôrô,Ioba,7
Djôrô,Noumbiel,5
Djôrô,Poni,10
Goulmou,Gourma,6
Goulmou,Kompienga,3
Guiriko,Houet,13
Guiriko,Kénédougou,13
Guiriko,Tuy,7
Kadiogo,Kadiogo,7
Kuilsé,Bam,9
Kuilsé,Namentenga,8
Kuilsé,Sandbondtenga,11
Liptako,Oudalan,5
Liptako,Séno,6
Liptako,Yagha,6
Nakambé,Boulgou,13
Nakambé,Koulpélogo,8
Nakambé,Kouritenga,9
Nando,Boulkiemdé,15
Nando,Sanguié,10
Nando,Sissili,7
Nando,Ziro,6
Nazinon,Bazèga,7
Nazinon,Nahouri,5
Nazinon,Zoundwéogo,7
Oubri,Bassitenga,7
Oubri,Ganzourgou,8
Oubri,Kourwéogo,5
Sirba,Gnagna,7
Sirba,Komondjari,3
Soum,Djelgodji,7
Soum,Karo-Peli,2
Sourou,Koosin,10
Sourou,Nayala,6
Sourou,Sourou,8
Tannounyan,Comoé,9
Tannounyan,Léraba,8
Tapoa,Dyamongou,2
Tapoa,Gobnangou,6
Yaadga,Loroum,4
Yaadga,Passoré,9
Yaadga,Yatenga,13
Yaadga,Zondoma,5
